100,13887
200,33765
300,53593
400,73354
500,93005
600,112598
700,131760
800,151349
900,170471
1000,189451
1100,208564
1200,228528
1300,248733
1400,269425
1500,289940
1600,310699
1700,331300
1800,351740
1900,372543
2000,393217
2100,413512
2200,434359
2300,455746
2400,475877
2500,496122
2600,516617
2700,537104
2800,557600
2900,578010
3000,598736
3100,619208
3200,640129
3300,661189
3400,682424
3500,703398
3600,724523
3700,745386
3800,766131
3900,787850
4000,809495
4100,830682
4200,851507
4300,872735
4400,893790
4500,915067
4600,936038
4700,956746
4800,977178
4900,997669
5000,1018094
5100,1038533
5200,1059062
5300,1079908
5400,1100065
5500,1120561
5600,1141158
5700,1162631
5800,1184159
5900,1205705
6000,1227075
6100,1248533
6200,1269782
6300,1291777
6400,1313220
6500,1333394
6600,1353654
6700,1373928
6800,1394205
6900,1414239
7000,1434605
7100,1454980
7200,1475730
7300,1496341
7400,1517341
7500,1538666
7600,1559041
7700,1579621
7800,1600038
7900,1620344
8000,1640730
8100,1661045
8200,1681359
8300,1701560
8400,1722028
8500,1741963
8600,1762201
8700,1782427
8800,1802840
8900,1823426
9000,1843922
9100,1864836
9200,1885829
9300,1906687
9400,1927503
9500,1948374
9600,1969292
9700,1990110
9800,2010982
9900,2031418
10000,2051987
10100,2072449
10200,2092741
10300,2114046
10400,2135566
10500,2156660
10600,2178151
10700,2199448
10800,2220520
10900,2240947
11000,2261509
11100,2281546
11200,2301866
11300,2322472
11400,2343101
11500,2363893
11600,2384649
11700,2405707
11800,2426997
11900,2448238
12000,2469274
12100,2490133
12200,2510830
12300,2531473
12400,2551973
12500,2572171
12600,2592131
12700,2612026
12800,2632093
12900,2652080
13000,2671753
13100,2692173
13200,2712756
13300,2733227
13400,2753147
13500,2773337
13600,2793761
13700,2814119
13800,2834323
13900,2854548
14000,2874618
14100,2894986
14200,2915369
14300,2935480
14400,2955761
14500,2976090
14600,2996263
14700,3016880
14800,3037103
14900,3057700
15000,3077860
15100,3098252
15200,3118402
15300,3138041
15400,3157908
15500,3177460
15600,3197160
15700,3216490
15800,3235964
15900,3255637
16000,3275526
16100,3295192
16200,3314923
16300,3334617
16400,3354214
16500,3373985
16600,3393617
16700,3413404
16800,3433313
16900,3452970
17000,3472630
17100,3492317
17200,3512354
17300,3532572
17400,3552346
17500,3572656
17600,3592822
17700,3612819
17800,3633108
17900,3653503
18000,3673685
18100,3694165
18200,3714686
18300,3735315
18400,3754799
18500,3775758
18600,3795915
18700,3817042
18800,3837846
18900,3858967
19000,3879871
19100,3900794
19200,3921395
19300,3942032
19400,3962788
19500,3983298
19600,4003580
19700,4023557
19800,4043462
19900,4063675
20000,4083688
20100,4103647
20200,4123498
20300,4143501
20400,4163428
20500,4183758
20600,4204456
20700,4225197
20800,4245542
20900,4265964
21000,4286464
21100,4307183
21200,4327953
21300,4348959
21400,4369509
21500,4390153
21600,4410781
21700,4431433
21800,4452327
21900,4473678
22000,4495072
22100,4516663
22200,4538085
22300,4559671
22400,4580364
22500,4600990
22600,4621322
22700,4642013
22800,4662832
22900,4683565
23000,4704134
23100,4724724
23200,4745180
23300,4765787
23400,4786697
23500,4807816
23600,4828785
23700,4849516
23800,4869924
23900,4890549
24000,4910813
24100,4931212
24200,4951858
24300,4972164
24400,4992377
24500,5012829
24600,5033696
24700,5054206
24800,5074767
24900,5095492
25000,5115920
