100,8979,2
200,23394,2
300,51550,2
400,78156,2
500,107212,2
600,135230,3
700,156673,4
800,168733,4
900,183815,4
1000,208364,6
1100,235345,6
1200,251765,6
1300,275624,7
1400,298491,11
1500,323989,13
1600,350921,13
1700,371361,16
1800,397821,17
1900,423689,19
2000,447729,19
2100,471182,19
2200,496731,19
2300,525513,19
2400,554311,19
2500,583151,19
2600,611785,19
2700,640564,19
2800,664409,19
2900,691089,21
3000,719039,22
3100,747725,24
3200,775193,24
3300,802752,24
3400,831856,24
3500,860984,24
3600,885806,25
3700,911745,27
3800,938175,29
3900,963183,29
4000,989084,29
4100,1017705,29
4200,1044999,29
4300,1074094,29
4400,1103551,29
4500,1132565,29
4600,1161334,29
4700,1189587,29
4800,1217247,29
4900,1239193,31
5000,1267306,31
5100,1294361,31
5200,1315940,32
5300,1345008,33
5400,1374287,33
5500,1401683,35
5600,1428527,38
5700,1457132,39
5800,1479396,42
5900,1496541,42
6000,1522658,42
6100,1549570,43
6200,1572978,44
6300,1600608,44
6400,1624409,44
6500,1647528,45
6600,1674474,45
6700,1700770,45
6800,1729344,45
6900,1758569,45
7000,1784333,46
7100,1805812,47
7200,1830485,47
7300,1856623,50
7400,1883580,52
7500,1911737,55
7600,1938658,57
7700,1967041,59
7800,1981321,59
7900,2006549,59
8000,2034725,60
8100,2054199,61
8200,2078117,61
8300,2104830,61
8400,2132975,61
8500,2162803,61
8600,2192392,61
8700,2221720,61
8800,2251405,61
8900,2281078,61
9000,2305480,61
9100,2330371,62
9200,2358547,63
9300,2380091,65
9400,2408063,67
9500,2435714,68
9600,2464710,69
9700,2481077,70
9800,2506958,70
9900,2533672,71
10000,2555519,71
10100,2577184,71
10200,2600078,71
10300,2627677,71
10400,2657612,71
10500,2687002,71
10600,2717084,71
10700,2747378,71
10800,2776479,71
10900,2803207,71
11000,2828047,72
11100,2854516,74
11200,2883441,74
11300,2903645,74
11400,2920218,74
11500,2944316,76
11600,2969528,77
11700,2996162,77
11800,3022008,77
11900,3048045,77
12000,3076949,77
12100,3106685,77
12200,3135852,77
12300,3159668,78
12400,3186310,81
12500,3215992,81
12600,3236868,81
12700,3261004,82
12800,3288114,85
12900,3313985,86
13000,3340796,89
13100,3367907,90
13200,3395377,92
13300,3423347,94
13400,3451658,94
13500,3474800,97
13600,3503065,98
13700,3518781,99
13800,3541601,99
13900,3568915,101
14000,3597284,102
14100,3622730,102
14200,3647477,103
14300,3670730,103
14400,3693670,103
14500,3711128,103
14600,3739478,103
14700,3768374,103
14800,3797459,103
14900,3826549,103
15000,3855636,103
15100,3884762,103
15200,3913524,103
15300,3942298,103
15400,3970727,103
15500,3997332,103
15600,4017306,104
15700,4044828,105
15800,4071247,105
15900,4095994,105
16000,4116217,105
16100,4137683,105
16200,4166708,105
16300,4196115,105
16400,4225036,105
16500,4254486,105
16600,4279486,105
16700,4305628,107
16800,4331993,108
16900,4360723,109
17000,4388066,112
17100,4416577,113
17200,4445040,114
17300,4468585,115
17400,4494799,116
17500,4514337,117
17600,4535316,117
17700,4555591,117
17800,4581229,117
17900,4609158,117
18000,4638534,117
18100,4667393,117
18200,4696551,117
18300,4726125,117
18400,4755218,117
18500,4784879,117
18600,4814054,117
18700,4840775,117
18800,4866212,118
18900,4894518,119
19000,4923361,119
19100,4949895,121
