1,-nan,0,0,0
2,19870.2,19870.2,19870.2,1
3,82146.3,82146.3,82146.3,1
4,-nan,0,0,0
5,71293.4,71293.4,71293.4,1
6,176346,176346,176346,1
7,-nan,0,0,0
8,124058,124058,124058,1
9,-nan,0,0,0
10,312573,144309,480836,2
11,32481.7,32481.7,32481.7,1
12,127451,127451,127451,1
13,62704.3,55247,70161.5,2
14,68620.9,68620.9,68620.9,1
15,-nan,0,0,0
16,38222.5,38222.5,38222.5,1
17,79273.8,52029.2,106518,2
18,132197,132197,132197,1
19,-nan,0,0,0
20,113878,113878,113878,1
21,753154,357355,1.14895e+06,2
22,-nan,0,0,0
