1,61606.2,24297.5,81974.3,3
2,109378,104230,113628,5
3,30786,18378.4,52912,3
4,25584.9,9404.52,63111.1,4
5,73763.9,27217.3,99206.2,4
6,28023.8,2453.58,109690,5
7,31145.2,24554.5,37735.8,2
8,96929.7,82021.1,109970,5
9,78449,78449,78449,1
10,-nan,0,0,0
11,76451.3,72604.6,80297.9,2
12,14642.6,13903.6,15235.4,3
13,26467.2,8287.58,66056.4,8
14,27546.3,10011.6,60113.4,3
15,64633.3,39497.7,89089.5,3
16,-nan,0,0,0
17,-nan,0,0,0
18,27408.5,17011.2,40689.8,4
19,70349.9,16817.3,102096,3
20,-nan,0,0,0
21,-nan,0,0,0
22,32652.9,32652.9,32652.9,1
