1,1145.71,635.292,2033.93,10
2,141.759,78.4845,483.383,8
3,1576.98,973.027,4249.35,10
4,1136.56,866.117,1580.54,9
5,1077.39,368.716,1690.73,9
6,918.528,497.63,1379.61,9
7,1567.65,846.303,2056.11,9
8,1301.61,547.46,3169.86,9
9,2387.61,1244.24,4439.31,9
10,1391.43,670.071,2515.24,8
11,406.214,209.557,703.256,10
12,1298.02,716.825,1909.94,8
13,965.243,663.978,1383.05,9
14,982.903,549.659,1563.91,9
15,1070.46,612.738,1672.59,9
16,375.755,191.902,619.773,9
17,1304.6,388.429,2381.46,9
18,2024.02,1308.87,2758.09,9
19,687.941,369.243,1238.68,9
20,857.356,533.548,2005.11,9
21,2984.02,2158.4,4098.19,9
22,597.001,411.962,863.502,10
