1,32727.9,9744.81,73380.3,3
2,112100,112100,112100,1
3,30141.2,22686,37856.5,3
4,21964.5,14383.2,42046.1,5
5,49428.8,19683.4,69243.7,3
6,7171.73,3806.64,17409.1,5
7,60635.1,25268.8,99814,3
8,99820.3,87827.1,107347,5
9,87893.4,62411.7,113375,2
10,-nan,0,0,0
11,75533.3,34887.1,109551,4
12,59948.6,5521.57,106068,4
13,48291.1,9965.51,119814,8
14,26179.2,9453.46,44182,3
15,59315.1,55462.2,63168.1,2
16,81455.4,81455.4,81455.4,1
17,-nan,0,0,0
18,29659.5,22115.4,34019.6,3
19,58254.4,8949.97,107559,2
20,-nan,0,0,0
21,-nan,0,0,0
22,20280.9,20280.9,20280.9,1
