1,26103.3,15000.5,41302.4,22
2,23243.6,17880.5,31535,18
3,57141.2,48888.8,74473.8,17
4,158906,138989,247096,8
5,117321,96584.3,132363,16
6,15288.3,6658.37,29376.6,19
7,46608.6,33683.9,57265.1,16
8,26356.4,15129.8,44109.3,18
9,126768,105586,149838,12
10,65271.3,37961.5,111020,12
11,8247.28,5095.37,11252.6,13
12,27572.9,8897.72,40340.3,10
13,145066,67501.2,216993,22
14,17585,8511.55,26422.7,15
15,44675.3,31041.9,67192.3,12
16,39119.5,22361.9,52420,12
17,19514,9031.58,39482.7,17
18,233636,208592,266496,7
19,24885.8,6212.16,42920.7,14
20,46056.2,13198.1,81231.6,15
21,184007,143501,221948,6
22,27427.3,17521.3,43385.3,17
