1,6974.97,6974.97,6974.97,1
2,24453.4,24453.4,24453.4,1
3,38075.9,35340.4,40414.5,3
4,43457.1,43457.1,43457.1,1
5,-nan,0,0,0
6,4840.41,4840.41,4840.41,1
7,-nan,0,0,0
8,51501.8,51501.8,51501.8,1
9,64405.2,64405.2,64405.2,1
10,1.51e+06,1.51e+06,1.51e+06,1
11,13871.8,7872.03,19871.6,2
12,19278.9,19278.9,19278.9,1
13,69212.4,69212.4,69212.4,1
14,-nan,0,0,0
15,-nan,0,0,0
16,25988.8,25988.8,25988.8,1
17,14759.5,14759.5,14759.5,1
18,-nan,0,0,0
19,51032.1,51032.1,51032.1,1
20,-nan,0,0,0
21,-nan,0,0,0
22,-nan,0,0,0
