1,14098.2,14098.2,14098.2,1
2,2279.17,2279.17,2279.17,1
3,9007.56,9007.56,9007.56,1
4,3790.19,3790.19,3790.19,1
5,2265.16,2265.16,2265.16,1
6,-nan,0,0,0
7,4138.11,4138.11,4138.11,1
8,5552.28,5552.28,5552.28,1
9,12752.7,12752.7,12752.7,1
10,8337.68,8337.68,8337.68,1
11,1757.31,1757.31,1757.31,1
12,3766.35,3766.35,3766.35,1
13,-nan,0,0,0
14,2706.66,2706.66,2706.66,1
15,-nan,0,0,0
16,-nan,0,0,0
17,-nan,0,0,0
18,22471.4,22471.4,22471.4,1
19,3504.7,3504.7,3504.7,1
20,15380.9,15380.9,15380.9,1
21,-nan,0,0,0
22,-nan,0,0,0
