1,160323,160323,160323,1
2,-nan,0,0,0
3,225153,116530,333775,2
4,59095.8,47188.9,71002.8,2
5,-nan,0,0,0
6,38399.1,22703,63792.5,5
7,-nan,0,0,0
8,93280.9,47769.1,138793,2
9,-nan,0,0,0
10,298895,298895,298895,1
11,42216.3,42216.3,42216.3,1
12,110892,104774,117010,2
13,197643,195814,199505,4
14,69679.6,69679.6,69679.6,1
15,74253.6,74253.6,74253.6,1
16,52241.8,51891.3,52592.3,2
17,-nan,0,0,0
18,253055,253055,253055,1
19,79823.8,34735.6,106267,3
20,-nan,0,0,0
21,178413,178413,178413,1
22,55017.8,55017.8,55017.8,1
