1,-nan,0,0,0
2,2140.37,2140.37,2140.37,1
3,-nan,0,0,0
4,877.279,877.279,877.279,1
5,35720.4,35720.4,35720.4,1
6,5488.04,5488.04,5488.04,1
7,15142,15142,15142,1
8,4228.72,4228.72,4228.72,1
9,10636.1,9997.87,11274.4,2
10,58520.7,58520.7,58520.7,1
11,5409.8,5335.09,5484.52,2
12,5879.21,5879.21,5879.21,1
13,-nan,0,0,0
14,6287.1,6287.1,6287.1,1
15,34510.5,34510.5,34510.5,1
16,13880.7,12062.4,15595.5,3
17,11151,10869,11433.1,2
18,18956.4,18956.4,18956.4,1
19,2372.63,2372.63,2372.63,1
20,9043.39,7392.35,10316.5,3
21,50795.4,50154.2,51436.5,2
22,5060.48,3974.83,6146.13,2
