1,7586.38,7586.38,7586.38,1
2,2555.14,2531.03,2579.25,2
3,5525.88,5525.88,5525.88,1
4,710.874,710.874,710.874,1
5,44989.1,39230,50040.7,3
6,6765.1,6765.1,6765.1,1
7,6840.12,6840.12,6840.12,1
8,-nan,0,0,0
9,-nan,0,0,0
10,-nan,0,0,0
11,-nan,0,0,0
12,6734.56,3878.09,9591.04,2
13,2784.58,2784.58,2784.58,1
14,6556.21,6556.21,6556.21,1
15,36819.4,29993.8,46018.8,3
16,-nan,0,0,0
17,8388.67,8388.67,8388.67,1
18,20422.5,20422.5,20422.5,1
19,2449.2,2256.81,2641.59,2
20,-nan,0,0,0
21,-nan,0,0,0
22,-nan,0,0,0
