1,7281.31,7281.31,7281.31,1
2,1835.67,1825.08,1846.27,2
3,14274.3,13744.3,14804.3,2
4,-nan,0,0,0
5,31931.7,31931.7,31931.7,1
6,4946.8,4946.8,4946.8,1
7,-nan,0,0,0
8,1898.37,1898.37,1898.37,1
9,-nan,0,0,0
10,43492,43492,43492,1
11,5024.79,5024.79,5024.79,1
12,4040.53,4040.53,4040.53,1
13,1006.24,1006.24,1006.24,1
14,-nan,0,0,0
15,24230.1,24230.1,24230.1,1
16,10220.7,10220.7,10220.7,1
17,8007.11,7832.87,8181.35,2
18,15397.4,15397.4,15397.4,1
19,913.28,913.28,913.28,1
20,-nan,0,0,0
21,-nan,0,0,0
22,-nan,0,0,0
