1,113151,43928.7,182373,2
2,42851.9,36151.5,49552.4,2
3,214360,161448,250000,3
4,129776,129776,129776,1
5,-nan,0,0,0
6,77417.4,64808.9,90026,2
7,236680,236680,236680,1
8,255649,255649,255649,1
9,346242,176248,516236,2
10,707529,342148,1.07291e+06,2
11,62773.5,47290.5,78256.5,2
12,769499,769499,769499,1
13,322957,322957,322957,1
14,-nan,0,0,0
15,96252.7,96252.7,96252.7,1
16,-nan,0,0,0
17,158039,158039,158039,1
18,-nan,0,0,0
19,102835,38955.2,166715,2
20,395958,395958,395958,1
21,-nan,0,0,0
22,78933.1,78933.1,78933.1,1
